0	Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa Aa	0	0N
0	Aa Aa Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa a Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa Aa	0	0N
0	Aa	0	0N
0	Aa Aa	0	0N
0	Aa	0	0N
0	Aa Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa	a	0.0N
0	Aa	a	0.0	N
0	Aa	a	0.0N
0	Aa Aa	a	0.0N
0	Aa	a	0N
0	Aa	a	0N
0	Aa Aa	a	0.0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa Aa	0	0N
0	Aa Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa	0	0N
0	Aa Aa	0	0N
0	Aa	0	0
