0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0.a.a.a,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
a.a.a.a,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.a-0-0-0.a,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.a-0-0-0.a.a-a.a,0N
0.0.0.0,0N
0.a-0-0-0.a,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
a0.a-0-0-0.a,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
a.a.a,0N
0.0.0.0,0N
0.0.0.0,0N
0.a-0-0-0.a,0N
0-0-0-0.a-a.a.a,0N
0.0.0.0,0N
a0.a-0-0-0.a,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.a-0-0-0.a,0N
0.a-0-0-0.a,0N
0.a-0-0-0.a,0N
0.0.0.0,0N
a0.a-0-0-0.a,0N
0.a-0-0-0.a,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
a-0-0-0-0.a0.a.a.a,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.a-0-0-0.a.a-a.a,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
a.a,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
a0.a-0-0-0.a,0N
0.a-0-0-0.a,0N
0.0.0.0,0N
0.0.0.0,0N
0.a-0-0-0.a,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
0.0.0.0,0N
a0.a-0-0-0.a,0N
0.0.0.0,0N
0.0.0.0,0N
a0.a-0-0-0.a,0N
